A̱o,Trimestre,PIB
1980,T1,46.449
1980,T2,46.379
1980,T3,46.023
1980,T4,49.284
1981,T1,50.641
1981,T2,51.802
1981,T3,50.530
1981,T4,53.013
1982,T1,52.382
1982,T2,52.196
1982,T3,50.455
1982,T4,50.937
1983,T1,49.972
1983,T2,49.216
1983,T3,47.781
1983,T4,50.015
1984,T1,51.600
1984,T2,50.659
1984,T3,49.965
1984,T4,51.628
1985,T1,52.549
1985,T2,52.228
1985,T3,50.419
1985,T4,52.486
1986,T1,50.514
1986,T2,51.749
1986,T3,47.812
1986,T4,49.905
1987,T1,49.965
1987,T2,51.958
1987,T3,49.465
1987,T4,52.732
1988,T1,51.558
1988,T2,52.596
1988,T3,49.426
1988,T4,53.151
1989,T1,52.770
1989,T2,54.846
1989,T3,52.016
1989,T4,54.655
1990,T1,55.166
1990,T2,57.000
1990,T3,54.680
1990,T4,58.602
1991,T1,57.035
1991,T2,60.156
1991,T3,56.470
1991,T4,60.890
1992,T1,59.705
1992,T2,61.455
1992,T3,59.126
1992,T4,62.494
1993,T1,61.501
1993,T2,62.540
1993,T3,61.926
1993,T4,63.886
1994,T1,63.507
1994,T2,66.126
1994,T3,65.031
1994,T4,67.250
1995,T1,62.524
1995,T2,60.296
1995,T3,60.272
1995,T4,62.650
1996,T1,64.054
1996,T2,65.049
1996,T3,65.097
1996,T4,68.256
1997,T1,66.790
1997,T2,70.487
1997,T3,70.096
1997,T4,72.997
1998,T1,72.698
1998,T2,74.001
1998,T3,73.632
1998,T4,74.620
1999,T1,74.379
1999,T2,75.669
1999,T3,75.730
1999,T4,77.118
2000,T1,78.261
2000,T2,79.978
2000,T3,79.912
2000,T4,80.070
2001,T1,78.582
2001,T2,79.701
2001,T3,79.051
2001,T4,79.441
2002,T1,76.327
2002,T2,80.606
2002,T3,79.197
2002,T4,80.433
2003,T1,78.790
2003,T2,81.037
2003,T3,79.570
2003,T4,81.754
2004,T1,81.507
2004,T2,84.390
2004,T3,82.518
2004,T4,85.306
2005,T1,82.065
2005,T2,86.651
2005,T3,84.644
2005,T4,87.958
2006,T1,86.628
2006,T2,90.208
2006,T3,88.554
2006,T4,90.852
2007,T1,88.379
2007,T2,92.005
2007,T3,90.672
2007,T4,93.447
2008,T1,89.369
2008,T2,94.329
2008,T3,91.800
2008,T4,92.797
2009,T1,84.434
2009,T2,86.080
2009,T3,87.246
2009,T4,91.249
2010,T1,88.266
2010,T2,92.055
2010,T3,91.529
2010,T4,95.158
2011,T1,91.500
2011,T2,94.589
2011,T3,95.260
2011,T4,99.042
2012,T1,95.958
2012,T2,98.473
2012,T3,97.926
2012,T4,102.232
2013,T1,96.615
2013,T2,100.544
2013,T3,99.359
2013,T4,103.481
2014,T1,99.203
2014,T2,102.775
2014,T3,102.115
2014,T4,106.764
2015,T1,102.558
2015,T2,105.865
2015,T3,106.172
2015,T4,109.360
2016,T1,105.145
2016,T2,108.852
2016,T3,107.718
2016,T4,112.548
2017,T1,108.674
2017,T2,110.577
2017,T3,109.336
2017,T4,114.557
2018,T1,110.186
2018,T2,114.156
2018,T3,112.379
2018,T4,115.920
2019,T1,111.533
2019,T2,112.990
2019,T3,112.228
2019,T4,115.087
2020,T1,110.194
2020,T2,91.977
2020,T3,102.665
2020,T4,110.198
2021,T1,106.469
2021,T2,110.023
